,video_title,video_link,video_views,video_duration,video_availability,channel_id
59,Other math channels you'd enjoy,https://www.youtube.com/watch?v=VcgJro0sTiM,226925,8:09,1,UCYO_jab_esuFRV4b17AJtAw
15,Summer of Math Exposition 2 Invitation,https://www.youtube.com/watch?v=hZuYICAEN9Y,266831,7:14,1,UCYO_jab_esuFRV4b17AJtAw
31,The DP-3T algorithm for contact tracing (via Nicky Case),https://www.youtube.com/watch?v=D__UaR5MQao,353606,7:19,1,UCYO_jab_esuFRV4b17AJtAw
39,"Q&A with Grant, windy walk edition",https://www.youtube.com/watch?v=Agbh95KyWxY,422934,19:06,1,UCYO_jab_esuFRV4b17AJtAw
37,The quick proof of Bayes' theorem,https://www.youtube.com/watch?v=U_85TaXbeIo,478853,3:48,1,UCYO_jab_esuFRV4b17AJtAw
2,25 Math explainers you may enjoy | SoME3 results,https://www.youtube.com/watch?v=6a1fLEToyvU,508095,22:12,1,UCYO_jab_esuFRV4b17AJtAw
0,Answering refractive index questions from viewers | Optics puzzles 4,https://www.youtube.com/watch?v=Cz4Q4QOuoo8,549480,13:25,1,UCYO_jab_esuFRV4b17AJtAw
8,Convolutions | Why X+Y in probability is a beautiful mess,https://www.youtube.com/watch?v=IaSGqQa5O-M,564908,27:25,1,UCYO_jab_esuFRV4b17AJtAw
3,Explaining the barber pole effect from origins of light | Optics puzzles 2,https://www.youtube.com/watch?v=aXRTczANuIs,635313,21:33,1,UCYO_jab_esuFRV4b17AJtAw
43,Pure Fourier series animation montage,https://www.youtube.com/watch?v=-qgreAUpPwM,649622,12:29,1,UCYO_jab_esuFRV4b17AJtAw
5,A pretty reason why Gaussian + Gaussian = Gaussian,https://www.youtube.com/watch?v=d_qvLDhkg00,666631,13:16,1,UCYO_jab_esuFRV4b17AJtAw
54,Why 5/3 is a fundamental constant for turbulence,https://www.youtube.com/watch?v=_UoTTq651dE,688353,11:28,1,UCYO_jab_esuFRV4b17AJtAw
23,The Summer of Math Exposition,https://www.youtube.com/watch?v=ojjzXyQCzso,717469,24:21,1,UCYO_jab_esuFRV4b17AJtAw
13,What makes a great math explanation? | SoME2 results,https://www.youtube.com/watch?v=cDofhN-RJqg,730039,17:01,1,UCYO_jab_esuFRV4b17AJtAw
