,video_title,video_link,video_views,video_duration,video_availability,channel_id
420,Tabitha Brown on Black Ancestors Being Vegan | Ep. 81 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=9EDeDLfTLzU,3520,1:11,1,UCQoxJOkwaCgyzQtiuAIDcuw
452,Omarion Isn’t Sensitive But Aware | Ep. 79 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Lw2sn1BN4Bc,3661,2:24,1,UCQoxJOkwaCgyzQtiuAIDcuw
201,"DJ Khaled, Jeff Bezos, Bill Gates and Steve Jobs All Have Something In Common - Started In A Garage",https://www.youtube.com/watch?v=RrnZ0eKHKJM,3896,1:26,1,UCQoxJOkwaCgyzQtiuAIDcuw
415,Tabitha Brown On Being the Social Media Oprah | Ep. 81 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=EjNZUCeBgnY,4333,1:51,1,UCQoxJOkwaCgyzQtiuAIDcuw
431,Timbaland Was Happy To Make $3K | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=jbHR7x1raQQ,4747,5:27,1,UCQoxJOkwaCgyzQtiuAIDcuw
419,Tabitha Brown On Making $30K A Year & Thought She Was Balling | Ep. 81 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=pgxMdpO70FI,5577,4:00,1,UCQoxJOkwaCgyzQtiuAIDcuw
451,"Omarion’s Mom Did Usher, Kirk Franklin & Jermaine Dupri’s Hair & Omarion Rapped Like P. Diddy",https://www.youtube.com/watch?v=2RpXXnGlJXs,5594,1:59,1,UCQoxJOkwaCgyzQtiuAIDcuw
181,Denzel Washington & Eddie Murphy Receive Their Flowers From DaBaby | CLUB SHAY SHAY,https://www.youtube.com/watch?v=wWGBZgwvttA,5616,2:22,1,UCQoxJOkwaCgyzQtiuAIDcuw
424,Tabitha Brown on being Vegan: 'Thought it was for White women who did yoga' | CLUB SHAY SHAY,https://www.youtube.com/watch?v=36ez0uspsKs,5644,2:03,1,UCQoxJOkwaCgyzQtiuAIDcuw
414,"Tabitha Brown's Mom Wouldn't Change Being Sick: ""God has trusted me, he knows I can handle it.""",https://www.youtube.com/watch?v=UdiP-K94w20,5684,3:10,1,UCQoxJOkwaCgyzQtiuAIDcuw
225,"Megan Thee Stallion, Gunna, Blueface, DaBaby, Roddy Ricch - Cordae's 2019 XXL Freshman Class Updates",https://www.youtube.com/watch?v=ko0XrttWlZw,5690,5:15,1,UCQoxJOkwaCgyzQtiuAIDcuw
336,"Chris Brown Performed Sisqó’s ""Thong Song"" At 7-Years-Old | EP. 86 | CLUB SHAY SHAY",https://www.youtube.com/watch?v=3Vn8R1_J6Gs,5721,1:27,1,UCQoxJOkwaCgyzQtiuAIDcuw
450,"Omarion On Kids, Daughter Wanting To Meet Beyoncé & Taking Son To See Usher | CLUB SHAY SHAY",https://www.youtube.com/watch?v=dYZkGG465xo,6520,2:48,1,UCQoxJOkwaCgyzQtiuAIDcuw
455,Omarion on Pros & Cons of Dating & Having A Kid on Love & Hip Hop: Hollywood | CLUB SHAY SHAY,https://www.youtube.com/watch?v=ZzMWlxcylIY,7038,2:31,1,UCQoxJOkwaCgyzQtiuAIDcuw
437,LeBron James & Missy Elliott Similarities - Timbaland explains | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=ELCKeweIpqE,7249,4:38,1,UCQoxJOkwaCgyzQtiuAIDcuw
377,"GloRilla, Chloe Bailey & Finesse2tymes Fans Going Too Far & Jacquees on Travis Scott's AstroWorld",https://www.youtube.com/watch?v=E00w7MeJmAQ,7264,2:49,1,UCQoxJOkwaCgyzQtiuAIDcuw
392,Jacquees Tells Shannon Sharpe A Story Of Money From $30K Stash Being Stolen By Friend | Ep. 83,https://www.youtube.com/watch?v=Ba6WG6J23pw,7326,1:37,1,UCQoxJOkwaCgyzQtiuAIDcuw
384,"Chris Brown, Beyoncé, Usher & Whitney Houston are among Jacquees’ Kings & Queens of R&B | Ep. 83",https://www.youtube.com/watch?v=SAZ-HZlnyNo,7328,1:54,1,UCQoxJOkwaCgyzQtiuAIDcuw
434,Timbaland on Working With Elton John | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=AaBz1Vk3evM,7620,4:02,1,UCQoxJOkwaCgyzQtiuAIDcuw
376,"Shannon Sharpe & Jacquees Talk Independency, YouTube Fame vs. Industry Fame & Signing with Birdman",https://www.youtube.com/watch?v=cOFYuH2sofs,7627,5:43,1,UCQoxJOkwaCgyzQtiuAIDcuw
413,Shannon Gives Tabitha Brown A 1 Star As An Uber Driver & Talks Her Stand Up Comedy Career,https://www.youtube.com/watch?v=0pyIPdIxgAw,7932,4:46,1,UCQoxJOkwaCgyzQtiuAIDcuw
423,Tabitha Brown & Chance Agree With Steve Harvey That Blending A Family Is Hard | Ep. 81,https://www.youtube.com/watch?v=5SeOVdV-Qjo,7945,2:28,1,UCQoxJOkwaCgyzQtiuAIDcuw
188,DaBaby Wants Deion Sanders To Coach The Carolina Panthers After He Wins A Championship With Colorado,https://www.youtube.com/watch?v=ZYZMStaVYMc,7949,2:44,1,UCQoxJOkwaCgyzQtiuAIDcuw
403,Ne-Yo & Shannon Sharpe on Toxic Masculinity | Ep. 82 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=1BlIZd7B0AU,8107,2:26,1,UCQoxJOkwaCgyzQtiuAIDcuw
453,Omarion learned from UFC Fighters Israel Adesanya & Kamaru Usman: 'Defeat teaches you so much',https://www.youtube.com/watch?v=KrtalRXzngs,8129,1:53,1,UCQoxJOkwaCgyzQtiuAIDcuw
382,21 Savage Grew Up With Jacquees & Future Only Executive Producing For Kanye West & Jacquees | Ep. 83,https://www.youtube.com/watch?v=pZ46Z_kRuS4,8262,2:33,1,UCQoxJOkwaCgyzQtiuAIDcuw
496,"‘TikTokers make more money than drug dealers' — Mendeecees on mentorship, value of internet | Ep. 77",https://www.youtube.com/watch?v=5Dn7CiGwCSQ,8381,1:40,1,UCQoxJOkwaCgyzQtiuAIDcuw
418,Tabitha Brown Teaches Shannon Sharpe About Veganism | Ep. 81 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Yn28OAkHkcQ,8449,7:33,1,UCQoxJOkwaCgyzQtiuAIDcuw
220,Cordae On Selling 19K-25K Albums The First Week | CLUB SHAY SHAY,https://www.youtube.com/watch?v=RcxsRfoV3S0,8743,1:09,1,UCQoxJOkwaCgyzQtiuAIDcuw
325,Chris Brown Jokes That Jacquees Is The King Of R&B | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Ff0100ONp-E,8896,2:05,1,UCQoxJOkwaCgyzQtiuAIDcuw
326,Chris Brown Explains Why Kyrie Irving Is His Favorite NBA Player | CLUB SHAY SHAY,https://www.youtube.com/watch?v=IHLi_Apk57k,8942,2:41,1,UCQoxJOkwaCgyzQtiuAIDcuw
379,"Jacquees & Shannon Sharpe Talk Entanglements, Public Relationships & Gift Giving | CLUB SHAY SHAY",https://www.youtube.com/watch?v=P7BuFx56UrM,9206,4:38,1,UCQoxJOkwaCgyzQtiuAIDcuw
218,"Juice WRLD's Death Hit Cordae Hard and Lessons Learned From Pop Smoke, Young Dolph & PnB Rock",https://www.youtube.com/watch?v=hVzp7B1xAz4,9401,5:44,1,UCQoxJOkwaCgyzQtiuAIDcuw
440,"Timbaland Compares Aaliyah to Beyoncé, Rihanna & Nicki Minaj | Ep. 80 | CLUB SHAY SHAY",https://www.youtube.com/watch?v=zCE5JFxmPS4,9418,1:09,1,UCQoxJOkwaCgyzQtiuAIDcuw
425,Tabitha Brown on Good and Bad Business Deals | Ep. 81 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=U41GDiMo_o4,9433,8:45,1,UCQoxJOkwaCgyzQtiuAIDcuw
34,Kountry Wayne Paid For Ex-Wife's Birthday Trip | CLUB SHAY SHAY,https://www.youtube.com/watch?v=DOXUOUvLUb0,9484,12:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
421,"Tabitha Brown On Companies Taking Her Kindness For Weakness, Trying To Change Her & Being Upset",https://www.youtube.com/watch?v=zgQx3JtLpLs,9545,4:45,1,UCQoxJOkwaCgyzQtiuAIDcuw
186,"DaBaby Lists Cam Newton, Steve Smith Sr. And Julius Peppers As The Greatest Panthers Of All Time",https://www.youtube.com/watch?v=YphFD-vI6Tg,9547,2:15,1,UCQoxJOkwaCgyzQtiuAIDcuw
395,Ne-Yo on Negative Comments About Him On Social Media & Responding to DMs | CLUB SHAY SHAY,https://www.youtube.com/watch?v=XwXjKNtdQpE,9611,0:49,1,UCQoxJOkwaCgyzQtiuAIDcuw
457,Omarion on Catfish Victim from Dr. Phil saying they were Getting Married & Sent Money | Ep. 79,https://www.youtube.com/watch?v=Za1vgcVrkxM,9877,2:50,1,UCQoxJOkwaCgyzQtiuAIDcuw
144,"Kevin Durant, Devin Booker And Bradley Beal Need A Point Guard To Win A Championship",https://www.youtube.com/watch?v=K9gwYAjGsv0,10055,1:31,1,UCQoxJOkwaCgyzQtiuAIDcuw
221,Chance The Rapper And Eminem Gave Cordae Big Breaks When They Did Songs With Him | CLUB SHAY SHAY,https://www.youtube.com/watch?v=lFPlH3SOEMc,10211,5:06,1,UCQoxJOkwaCgyzQtiuAIDcuw
123,Kirk Franklin’s Trauma From Being Adopted | CLUB SHAY SHAY,https://www.youtube.com/watch?v=K18n6SQeupA,10476,22:14,1,UCQoxJOkwaCgyzQtiuAIDcuw
330,Chris Brown Shares The Pros and Cons Of A.I. In Music: He Wants to Figure Out How to License Voice,https://www.youtube.com/watch?v=JznR0CVpmaQ,10669,1:06,1,UCQoxJOkwaCgyzQtiuAIDcuw
436,Timbaland Didn’t Like Missy Elliott & Ludacris’ song “One Minute Man” | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=U4oDeDei-_Q,10770,1:20,1,UCQoxJOkwaCgyzQtiuAIDcuw
456,Omarion On Bow Wow Not Getting The Credit He Deserves | Ep. 79 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=f6ejBbAfG_Q,10930,1:23,1,UCQoxJOkwaCgyzQtiuAIDcuw
205,Dr. Dre Turned Down Michael Jackson And Prince - DJ Khaled reacts | CLUB SHAY SHAY,https://www.youtube.com/watch?v=1eDA-au43c4,10954,1:25,1,UCQoxJOkwaCgyzQtiuAIDcuw
204,"DJ Khaled On Meeting Lil Wayne, Birdman, Rick Ross and Future Before They Blew Up | CLUB SHAY SHAY",https://www.youtube.com/watch?v=jvqSJ5N8SlQ,11127,1:46,1,UCQoxJOkwaCgyzQtiuAIDcuw
219,"Kanye West, Jay-Z, Lil Wayne, Drake, Kendrick Lamar & Nicki Minaj on Cordae's Mt. Rushmores",https://www.youtube.com/watch?v=Rjvtl0xtjgY,11311,2:14,1,UCQoxJOkwaCgyzQtiuAIDcuw
390,Jacquees Explains Why R&B Is Dying: ‘The Top R&B Guys Won’t Collaborate’ | CLUB SHAY SHAY,https://www.youtube.com/watch?v=zgaJiG9E_3M,11348,1:54,1,UCQoxJOkwaCgyzQtiuAIDcuw
400,"Ne-Yo's Kings of R&B: Prince, Michael Jackson, Stevie Wonder, Marvin Gaye & Sammy Davis Jr. | Ep. 82",https://www.youtube.com/watch?v=ySELRFhroes,11371,1:32,1,UCQoxJOkwaCgyzQtiuAIDcuw
131,The Powers of NO - Francis Ngannou and Shannon Sharpe discuss | CLUB SHAY SHAY,https://www.youtube.com/watch?v=hD-Mtu2x10k,11580,2:03,1,UCQoxJOkwaCgyzQtiuAIDcuw
190,"DaBaby Picks LaMelo Ball Over Luka Dončić, Victor Wembanyama, Zion Williamson & Ja Morant",https://www.youtube.com/watch?v=qVLplB0UFl0,11899,2:12,1,UCQoxJOkwaCgyzQtiuAIDcuw
329,Chris Brown Believes He Can Beat J. Cole In Basketball For $100K | EP. 86 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=x7FOpVay4kw,12092,2:49,1,UCQoxJOkwaCgyzQtiuAIDcuw
183,"DaBaby’s Rap Mt. Rushmore Is Himself, 2Pac, Lil Wayne, 50 Cent & Wants To Work w/ Kendrick & Drake",https://www.youtube.com/watch?v=WfYIljdfaQc,12232,7:39,1,UCQoxJOkwaCgyzQtiuAIDcuw
387,Lil Wayne’s influence on the 2000’s Generation from dreads to tattoos via Jacquees | CLUB SHAY SHAY,https://www.youtube.com/watch?v=8YGGtO2WGbQ,12417,2:28,1,UCQoxJOkwaCgyzQtiuAIDcuw
253,"Tommy Davidson Performed Comedy At Worst Strip Club In World, The Next Eddie Murphy & Richard Pryor",https://www.youtube.com/watch?v=a_6BTUpvaJ0,12478,6:27,1,UCQoxJOkwaCgyzQtiuAIDcuw
427,Tabitha Brown on being referred to as 'America's Mom' | Ep. 81 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=fAHXmmqh9ns,12709,1:31,1,UCQoxJOkwaCgyzQtiuAIDcuw
433,Timbaland on Growing Up With Pharrell & Missy Elliott: 'I knew Pharrell would be great' | Ep. 80,https://www.youtube.com/watch?v=l722csOFuHA,12730,7:04,1,UCQoxJOkwaCgyzQtiuAIDcuw
416,"Tabitha Brown: I became Vegan and got thick"" | Ep. 81 | CLUB SHAY SHAY",https://www.youtube.com/watch?v=NEEkza_uKqU,12774,1:43,1,UCQoxJOkwaCgyzQtiuAIDcuw
380,Jacquees Went Broke Buying A Rolex But Came Back Up | Ep. 83 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=yMFAudxo9S8,12872,3:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
296,Dwyane Wade Reveals Conversation With LeBron James About Handing Keys Of The Miami Heat To Him,https://www.youtube.com/watch?v=mWsKPTnfYwQ,13154,4:35,1,UCQoxJOkwaCgyzQtiuAIDcuw
297,Dwyane Wade on Being a First Ballot Hall of Famer | CLUB SHAY SHAY,https://www.youtube.com/watch?v=4S9ldsgr6eo,13183,6:54,1,UCQoxJOkwaCgyzQtiuAIDcuw
214,Shannon Sharpe And Cordae On Overcoming Speech Impediments and Haters | CLUB SHAY SHAY,https://www.youtube.com/watch?v=4_vjUYxY3u8,13394,7:37,1,UCQoxJOkwaCgyzQtiuAIDcuw
396,Ne-Yo's Songs With Brandy Stolen & Leaked | Ep. 82 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=NgFYDM643ro,13461,0:58,1,UCQoxJOkwaCgyzQtiuAIDcuw
37,21 Savage On Mom Working Under the Table As An Illegal Immigrant & Story Of Being Evicted As A Kid,https://www.youtube.com/watch?v=MRTnH8AJe3M,13759,12:15,1,UCQoxJOkwaCgyzQtiuAIDcuw
393,"Jacquees on Young Thug, Gunna & YSL’s RICO: 'Everyday I’m Praying for Thug' | CLUB SHAY SHAY",https://www.youtube.com/watch?v=b18litLxq0g,13861,2:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
242,T.I. Inspiring Shannon Sharpe To Do Stand Up Comedy. Should He Do It? | CLUB SHAY SHAY,https://www.youtube.com/watch?v=f0GSIBl3AQI,14032,2:00,1,UCQoxJOkwaCgyzQtiuAIDcuw
119,Death Row & Kirk Franklin Were Signed To The Same Label At The Same Time | CLUB SHAY SHAY,https://www.youtube.com/watch?v=3cSCIMEmAME,14156,9:38,1,UCQoxJOkwaCgyzQtiuAIDcuw
122,Kirk Franklin's War With God: Me and God have had struggles | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Y00mL5huWX0,14360,3:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
402,Prince & Stevie Wonder Crashed Ne-Yo's Party Uninvited | Ep. 82 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Q0qACJmL33g,14468,1:28,1,UCQoxJOkwaCgyzQtiuAIDcuw
216,"J. Cole's Advice To Cordae, Best & Worst Purchases and Super Bowl Commercial With Jonah Hill",https://www.youtube.com/watch?v=S4US16GmU6E,14580,12:09,1,UCQoxJOkwaCgyzQtiuAIDcuw
168,Ric Flair Thinks Dwight Howard Wouldn’t Be a Good Wrestler | CLUB SHAY SHAY,https://www.youtube.com/watch?v=I67hYoRHctM,14637,2:18,1,UCQoxJOkwaCgyzQtiuAIDcuw
386,D.C. Young Fly's Evolution From Being Broke To A Superstar by Jacquees | Ep. 83 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=RT7NQWHrw-0,14649,1:17,1,UCQoxJOkwaCgyzQtiuAIDcuw
442,Timbaland on Being Addicted To Pills & Almost Dying | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Wji23WJHKmY,14737,9:27,1,UCQoxJOkwaCgyzQtiuAIDcuw
