,video_title,video_link,video_views,video_duration,video_availability,channel_id
3,Mo'Nique on Queens of Comedy Pay & Treatment vs Kings of Comedy | CLUB SHAY SHAY,https://www.youtube.com/watch?v=NPVgBgIa2kw,281118,12:49,1,UCQoxJOkwaCgyzQtiuAIDcuw
2,"Mo’Nique: If I was a white woman, my name would be Melissa McCarthy | CLUB SHAY SHAY",https://www.youtube.com/watch?v=lqhYLniU_8M,287820,20:01,1,UCQoxJOkwaCgyzQtiuAIDcuw
51,​​21 Savage On Drake Hate | CLUB SHAY SHAY,https://www.youtube.com/watch?v=MXcnn195-RQ,315834,5:57,1,UCQoxJOkwaCgyzQtiuAIDcuw
82,"Katt Williams On Donald Trump, Joe Biden and Politics | CLUB SHAY SHAY",https://www.youtube.com/watch?v=Qq-J35bySsY,329581,2:01,1,UCQoxJOkwaCgyzQtiuAIDcuw
84,Katt Williams On Marriage | CLUB SHAY SHAY,https://www.youtube.com/watch?v=C3bCjsm3JMM,331234,5:32,1,UCQoxJOkwaCgyzQtiuAIDcuw
86,Katt Williams’ Childhood: Reading 3000 Books a Year & Homeless at 13 In Florida with Drug Addicts,https://www.youtube.com/watch?v=00YZgtAnw6s,339620,19:17,1,UCQoxJOkwaCgyzQtiuAIDcuw
22,Shannon Sharpe Takes Daughter To Usher’s Concert | CLUB SHAY SHAY,https://www.youtube.com/watch?v=XfQuuagQJ3Q,346969,1:43,1,UCQoxJOkwaCgyzQtiuAIDcuw
43,21 Savage's UK Accent Caused Fights As A Kid in Atlanta | CLUB SHAY SHAY,https://www.youtube.com/watch?v=TLm7MBfevjQ,358895,9:40,1,UCQoxJOkwaCgyzQtiuAIDcuw
13,Mo’Nique to Tiffany Haddish: If you had a husband like mine you may not have two DUIs,https://www.youtube.com/watch?v=rhQjG8LI-LQ,400374,8:23,1,UCQoxJOkwaCgyzQtiuAIDcuw
95,Katt Williams Was Homeless During Filming Of Friday After Next & Lost Teeth in an Accident,https://www.youtube.com/watch?v=SjVzYRKBBJw,404260,8:52,1,UCQoxJOkwaCgyzQtiuAIDcuw
10,"Mo’Nique Paid $50K For PRECIOUS, Blackballed, Whoopi, Oprah, & Tyler Perry Wanting Her to Do More",https://www.youtube.com/watch?v=9EeoU_dRmJI,428326,15:06,1,UCQoxJOkwaCgyzQtiuAIDcuw
9,Mo’Nique on THE PARKERS Making $2 Billion+ And Fight With Network | CLUB SHAY SHAY,https://www.youtube.com/watch?v=q6fpZGtB-O0,440697,14:32,1,UCQoxJOkwaCgyzQtiuAIDcuw
78,"Katt Williams & Prince’s Friendship: Women, Cars, Business and Lyrics | CLUB SHAY SHAY",https://www.youtube.com/watch?v=5zJM68Twnvk,445784,2:10,1,UCQoxJOkwaCgyzQtiuAIDcuw
83,Katt Williams On Being Booed & Performing In Front Of White vs Black Audiences | CLUB SHAY SHAY,https://www.youtube.com/watch?v=luDehK4tFLk,465747,35:16,1,UCQoxJOkwaCgyzQtiuAIDcuw
90,Katt Williams On Going To Jail 30 Times | CLUB SHAY SHAY,https://www.youtube.com/watch?v=b1M-xd7Q-A0,501048,5:13,1,UCQoxJOkwaCgyzQtiuAIDcuw
17,Mo'Nique On Oprah | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Kz8fUZdWwIg,540838,54:37,1,UCQoxJOkwaCgyzQtiuAIDcuw
14,Mo’Nique On D.L. Hughley | CLUB SHAY SHAY,https://www.youtube.com/watch?v=6lIS61UwaDY,568131,10:12,1,UCQoxJOkwaCgyzQtiuAIDcuw
81,Katt Williams On Mark Zuckerberg's $270M Bunker In Hawaii - Conspiracy Theory? | CLUB SHAY SHAY,https://www.youtube.com/watch?v=bWYcLb4WQ84,574836,1:41,1,UCQoxJOkwaCgyzQtiuAIDcuw
16,Mo'Nique on Taraji P. Henson’s Tears Over Hollywood Pay Disparity | CLUB SHAY SHAY,https://www.youtube.com/watch?v=ZzOocP__L_I,576720,15:20,1,UCQoxJOkwaCgyzQtiuAIDcuw
89,Katt Williams On Michael Blackson | CLUB SHAY SHAY,https://www.youtube.com/watch?v=1uzxbKMxse8,590321,2:12,1,UCQoxJOkwaCgyzQtiuAIDcuw
6,Mo'Nique On Rumor Shannon Sharpe Only Dates White Women | CLUB SHAY SHAY,https://www.youtube.com/watch?v=ybuxzl_IM6E,680959,8:16,1,UCQoxJOkwaCgyzQtiuAIDcuw
52,21 Savage's Chilling Story Of Being Shot 6 Times And Watching Friend Die On 21st Birthday,https://www.youtube.com/watch?v=v5cEtisTEr8,681456,36:59,1,UCQoxJOkwaCgyzQtiuAIDcuw
98,Katt Williams Protected Nick Cannon | CLUB SHAY SHAY,https://www.youtube.com/watch?v=GY02vKZ1uWc,740407,1:58,1,UCQoxJOkwaCgyzQtiuAIDcuw
15,Mo'Nique on Katt Williams Being A Truth Teller | CLUB SHAY SHAY,https://www.youtube.com/watch?v=OU6dFIaTeXg,819900,15:28,1,UCQoxJOkwaCgyzQtiuAIDcuw
99,Katt Williams on Ludacris | CLUB SHAY SHAY,https://www.youtube.com/watch?v=2o-BsDE-g4g,871781,1:32,1,UCQoxJOkwaCgyzQtiuAIDcuw
73,Kountry Wayne Fires Off On Faizon Love | CLUB SHAY SHAY,https://www.youtube.com/watch?v=6v59uasaU7U,965294,12:44,1,UCQoxJOkwaCgyzQtiuAIDcuw
85,Katt Williams Destroys Atlanta Radio Host Wanda Smith | CLUB SHAY SHAY,https://www.youtube.com/watch?v=nvIO2Jx7tXc,1060277,7:03,1,UCQoxJOkwaCgyzQtiuAIDcuw
18,Mo'Nique on Tyler Perry Losing Her Family $10M+ | CLUB SHAY SHAY,https://www.youtube.com/watch?v=4I8WCZjfZoA,1074032,38:04,1,UCQoxJOkwaCgyzQtiuAIDcuw
74,Kountry Wayne Goes Off On Jess Hilarious | CLUB SHAY SHAY,https://www.youtube.com/watch?v=7cwdZy0TSQc,1178509,5:59,1,UCQoxJOkwaCgyzQtiuAIDcuw
94,Katt Williams on Kanye West & Kim Kardashian | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Uh0b2syYQW8,1468260,3:07,1,UCQoxJOkwaCgyzQtiuAIDcuw
19,Mo'Nique On Kevin Hart | CLUB SHAY SHAY,https://www.youtube.com/watch?v=3xncTmpkbD8,2132411,8:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
91,Katt Williams On Dave Chappelle Walking Away From $50 Million | CLUB SHAY SHAY,https://www.youtube.com/watch?v=7BnvF4-_hh4,2160748,3:08,1,UCQoxJOkwaCgyzQtiuAIDcuw
92,"Katt Williams on Diddy, Harvey Weinstein, R. Kelly And Michael Jackson | CLUB SHAY SHAY",https://www.youtube.com/watch?v=kpFNUPFRW_o,2827379,14:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
33,"Usher On Babysitting Beyoncé, Mega Group With Jay-Z, Pharrell & Diddy & The Super Bowl Halftime Show",https://www.youtube.com/watch?v=Fa0jhYh3nhE,3128586,1:06:37,1,UCQoxJOkwaCgyzQtiuAIDcuw
54,"21 Savage's American Dream - Untold Stories From London, England to East Atlanta Zone 6",https://www.youtube.com/watch?v=_fT7xi8cJPU,3568158,2:01:40,1,UCQoxJOkwaCgyzQtiuAIDcuw
76,"Kountry Wayne Talks $20M From Social Media, Cheating, BBLs, Calls Out Jess Hilarious & Faizon Love",https://www.youtube.com/watch?v=-Jsvu19Pe4U,6212271,2:28:46,1,UCQoxJOkwaCgyzQtiuAIDcuw
20,Mo'Nique on Hollywood | CLUB SHAY SHAY,https://www.youtube.com/watch?v=q1PVr6AeUT0,11477889,2:55:21,1,UCQoxJOkwaCgyzQtiuAIDcuw
