,video_title,video_link,video_views,video_duration,video_availability,channel_id
1,How Does A Cash Secured Put Work? Simply Explained.,https://www.youtube.com/watch?v=6_Ig0AAoYFk,297,13:30,1,UCwTd2BD0usuEpieURt0eKfA
4,Selling Puts and Covered Calls On (FUBO TV Stock),https://www.youtube.com/watch?v=_sXJ2hhlSrM,454,8:40,1,UCwTd2BD0usuEpieURt0eKfA
13,SOFI OPTION TRADE - (How To Sell a Put - Paper Trade - Close The Put)   Tutorial In Robinhood,https://www.youtube.com/watch?v=HZB6fJ0pfF4,469,15:27,1,UCwTd2BD0usuEpieURt0eKfA
12,SOFI Option Trade Update - Sell Puts and (How To Close For Profit),https://www.youtube.com/watch?v=Y4NVSYDIbrk,503,12:38,1,UCwTd2BD0usuEpieURt0eKfA
9,URA Uranium ETF Review (Going Nuclear) Selling Puts,https://www.youtube.com/watch?v=mMVztAlVkXA,506,5:48,1,UCwTd2BD0usuEpieURt0eKfA
5,NEW STOCK (Selling Puts) +SPAXX Income Review,https://www.youtube.com/watch?v=0-t0Eq4Ix1M,606,12:09,1,UCwTd2BD0usuEpieURt0eKfA
11,OCT 2023 Options Strategy (Selling Puts + 5% On SPAXX),https://www.youtube.com/watch?v=CXVv5ojLsQY,607,7:41,1,UCwTd2BD0usuEpieURt0eKfA
10,SOFI Stock Review (Selling Puts and Covered Calls) Option Strategy,https://www.youtube.com/watch?v=J4fNWrM9BI4,660,9:02,1,UCwTd2BD0usuEpieURt0eKfA
8,Selling Options (O Realty Income) 6% Monthly Dividend,https://www.youtube.com/watch?v=z8NdxnpOisc,694,9:06,1,UCwTd2BD0usuEpieURt0eKfA
6,Top Stock - Selling Puts - ABR Arbor Realty Trust,https://www.youtube.com/watch?v=ZE0uAf7e5aM,882,15:06,1,UCwTd2BD0usuEpieURt0eKfA
0,Top 3 Stocks (2024 Strategy) Selling Puts,https://www.youtube.com/watch?v=l1S5vPMruKk,1063,16:01,1,UCwTd2BD0usuEpieURt0eKfA
27,Top 3 Green Stocks - RED DAY Technique - Selling Puts,https://www.youtube.com/watch?v=G89JmrEKUGE,1084,10:39,1,UCwTd2BD0usuEpieURt0eKfA
17,Top Options Trade - Win All 3 Ways (Dividend Capture Plus Covered Calls),https://www.youtube.com/watch?v=KNuJcFA2Bkc,1209,12:09,1,UCwTd2BD0usuEpieURt0eKfA
14,Top ETF (High Yield Dividend) Plus Option Premiums,https://www.youtube.com/watch?v=5PKO0ymKbHA,1215,12:06,1,UCwTd2BD0usuEpieURt0eKfA
33,7.3% Profit - SOFI Options Trade - Selling Covered Calls,https://www.youtube.com/watch?v=eePGe8HFs6Q,1311,11:38,1,UCwTd2BD0usuEpieURt0eKfA
25,Top 3 Option Trades - Selling Puts - Trading Options,https://www.youtube.com/watch?v=XaWx7Xrw0ok,1318,10:30,1,UCwTd2BD0usuEpieURt0eKfA
15,Top Stock For Selling Puts (Plus 4.85% on SPAXX),https://www.youtube.com/watch?v=HGa2Yg_jzBc,1340,11:32,1,UCwTd2BD0usuEpieURt0eKfA
22,Tesla vs Apple  (Which Is The Better Buy?) - Selling Puts,https://www.youtube.com/watch?v=eVCCZJ5wXS4,1461,15:59,1,UCwTd2BD0usuEpieURt0eKfA
30,New Top Stock - Selling Puts - Option Trade,https://www.youtube.com/watch?v=4nuwSs0evrw,1465,13:16,1,UCwTd2BD0usuEpieURt0eKfA
16,Earn 4.58% On Cash (Plus Option Income Selling Puts),https://www.youtube.com/watch?v=331whwQ975w,1507,16:42,1,UCwTd2BD0usuEpieURt0eKfA
18,Top Oversold Stock (9.5% Dividend Yield) Selling Puts,https://www.youtube.com/watch?v=bZrquCFdueY,1539,8:05,1,UCwTd2BD0usuEpieURt0eKfA
20,Top 3 Stocks (Over 8% Dividend Yields) Selling Puts,https://www.youtube.com/watch?v=BlnHobDysSY,1560,9:58,1,UCwTd2BD0usuEpieURt0eKfA
19,Top Stock (High Profit) Selling Puts,https://www.youtube.com/watch?v=MgDJlr1c0T8,1594,11:42,1,UCwTd2BD0usuEpieURt0eKfA
31,SOFI Options Update - Selling Puts - Option Trading,https://www.youtube.com/watch?v=Yai4Rffz9lE,1649,7:14,1,UCwTd2BD0usuEpieURt0eKfA
